nthreads,bandwidth
1,33194780000.0
2,32137270000.0
3,33833010000.000004
4,34610570000.0
5,34291879999.999996
6,34106430000.0
7,33845210000.0
8,33621570000.0
9,33447920000.0
10,33326379999.999996
11,33028949999.999996
12,33095010000.000004
13,32919760000.000004
14,32828860000.0
15,32710730000.0
16,32711320000.0
17,33926269999.999996
18,34569270000.0
19,35397950000.0
20,35447310000.0
21,36192520000.0
22,36089560000.0
23,36621100000.0
24,36515750000.0
25,36902780000.0
26,36811670000.0
27,36772270000.0
28,37080840000.0
29,37010940000.0
30,37318100000.0
31,37301600000.0
32,37671050000.0
